fabric_type,weather,festival,purpose,comfort_level,durability,breathability,sustainability_score,cost_category,weight,moisture_wicking,suitability_score,match_strength
Linen,humid,Casual Outing,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,humid,Office Event,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,summer,Casual Outing,Daily Wear,8,6,10,9,Medium,Light,No,9.77,3
Linen,summer,Casual Outing,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,humid,Office Event,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,humid,Casual Outing,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,summer,Interview,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,summer,,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,humid,,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,humid,Interview,Office,8,6,10,9,Medium,Light,No,9.75,3
Linen,summer,Office Event,Office,8,6,10,9,Medium,Light,No,9.75,3
Cotton,humid,Pongal,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Onam,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Graduation,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Interview,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Pongal,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Holi,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Graduation,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Eid,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Holi,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Durga Puja,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Casual Outing,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Durga Puja,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Eid,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Interview,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Office Event,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Navratri,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Onam,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Casual Outing,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Office Event,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,summer,Navratri,Office,9,7,9,8,Low,Light,Yes,9.69,3
Cotton,humid,Office Event,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Onam,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Interview,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Onam,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Casual Outing,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Casual Outing,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Office Event,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Interview,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Navratri,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Navratri,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Durga Puja,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Eid,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Navratri,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Durga Puja,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Pongal,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Holi,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Holi,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Interview,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Pongal,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Holi,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Graduation,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Eid,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Onam,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Eid,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Pongal,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Durga Puja,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Office Event,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Graduation,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,autumn,Casual Outing,Loungewear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,summer,Graduation,Daily Wear,9,7,9,8,Low,Light,Yes,9.66,3
Cotton,humid,Pongal,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Durga Puja,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Office Event,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Office Event,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Casual Outing,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Office Event,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Casual Outing,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Durga Puja,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Casual Outing,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Office Event,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Durga Puja,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Office Event,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Eid,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Pongal,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Onam,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Onam,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Durga Puja,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Durga Puja,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Navratri,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Durga Puja,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Durga Puja,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Navratri,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Navratri,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Navratri,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Navratri,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Navratri,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Durga Puja,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Onam,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Onam,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Casual Outing,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Durga Puja,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Casual Outing,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Navratri,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Casual Outing,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Casual Outing,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Onam,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Durga Puja,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Navratri,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Casual Outing,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Casual Outing,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Navratri,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Navratri,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Pongal,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Pongal,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Eid,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Pongal,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Holi,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Holi,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Office Event,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Graduation,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Pongal,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Eid,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Eid,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Graduation,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Interview,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Graduation,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Graduation,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Holi,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Holi,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Onam,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Interview,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Onam,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Onam,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Graduation,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Graduation,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Pongal,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Onam,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Onam,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Casual Outing,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Interview,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Interview,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Interview,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Office Event,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Eid,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Eid,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Office Event,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Office Event,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Pongal,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Interview,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Holi,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Pongal,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Pongal,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Graduation,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Graduation,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Office Event,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Graduation,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Graduation,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Eid,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Holi,Formal,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Eid,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Interview,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Holi,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Holi,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Interview,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Holi,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Interview,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Eid,Beach,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Holi,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,Interview,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,humid,Eid,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.64,3
Cotton,summer,,Travel,9,7,9,8,Low,Light,Yes,9.64,3
Bamboo,summer,,Sports,9,6,9,10,Medium,Light,Yes,9.57,3
Bamboo,humid,Casual Outing,Sports,9,6,9,10,Medium,Light,Yes,9.57,3
Bamboo,humid,,Sports,9,6,9,10,Medium,Light,Yes,9.57,3
Bamboo,summer,Casual Outing,Sports,9,6,9,10,Medium,Light,Yes,9.57,3
Cotton,autumn,Office Event,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Casual Outing,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Interview,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Durga Puja,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Eid,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Navratri,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Holi,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Onam,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Pongal,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Graduation,Office,9,7,9,8,Low,Light,Yes,9.54,3
Cotton,autumn,Casual Outing,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Holi,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Onam,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Eid,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Pongal,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Navratri,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Durga Puja,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Office Event,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Interview,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Graduation,Daily Wear,9,7,9,8,Low,Light,Yes,9.52,3
Cotton,autumn,Durga Puja,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Office Event,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Casual Outing,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Office Event,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Office Event,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Casual Outing,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Graduation,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,summer,Holi,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Office Event,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,summer,,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Casual Outing,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Durga Puja,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Eid,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Graduation,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Graduation,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Interview,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Interview,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Graduation,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Graduation,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Interview,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Holi,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Holi,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Interview,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,autumn,,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Office Event,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Interview,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Holi,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Pongal,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,autumn,Onam,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Onam,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,autumn,Holi,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Pongal,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,autumn,Pongal,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Durga Puja,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Eid,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Navratri,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Navratri,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Casual Outing,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,autumn,Casual Outing,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Casual Outing,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Navratri,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Navratri,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,summer,Diwali,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Navratri,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Onam,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Onam,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Pongal,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,summer,Onam,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Pongal,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Pongal,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Holi,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Eid,Yoga/Meditation,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Eid,Travel,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,autumn,Diwali,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Durga Puja,Formal,9,7,9,8,Low,Light,Yes,9.49,3
Khadi,summer,Casual Outing,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Khadi,summer,Pongal,Ethnic Wear,8,7,8,10,Medium,Medium,Yes,9.49,3
Cotton,autumn,Eid,Ethnic Wear,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Onam,Beach,9,7,9,8,Low,Light,Yes,9.49,3
Cotton,autumn,Onam,Formal,9,7,9,8,Low,Light,Yes,9.49,3
